nro	fecha	tipo_operacion	sentido	referencia	origen_documento	cantidad_movimiento	delta_existencias	saldo_existencias_corrido	ubicacion_origen	ubicacion_destino	codigo_picking	motivo
0	2026-04-01	SALDO_INICIAL	—	Saldo al inicio del período (movimientos anteriores)		0	0	0	CEN/Existencias			Stock en CEN/Existencias al 2026-04-01 según historial Odoo (suma de movimientos previos).
1	2026-04-02 21:38:24	PICK_EXPEDICION	SALIDA	CEN/PICK/00247	S01489 - OMAR3-MSSQL-OP-135185	6	-6	-6	CEN/Existencias	CEN/Salida	internal	Picking de preparación: sale de Existencias hacia zona de Salida (CEN/PICK/00247). Origen: S01489 - OMAR3-MSSQL-OP-135185.
2	2026-04-02 21:38:24	PICK_EXPEDICION	SALIDA	CEN/PICK/00248	S01482 - OMAR3-MSSQL-OP-135178	6	-6	-12	CEN/Existencias	CEN/Salida	internal	Picking de preparación: sale de Existencias hacia zona de Salida (CEN/PICK/00248). Origen: S01482 - OMAR3-MSSQL-OP-135178.
3	2026-04-02 21:38:24	PICK_EXPEDICION	SALIDA	CEN/PICK/00281	S01481 - OMAR3-MSSQL-OP-135177	12	-12	-24	CEN/Existencias	CEN/Salida	internal	Picking de preparación: sale de Existencias hacia zona de Salida (CEN/PICK/00281). Origen: S01481 - OMAR3-MSSQL-OP-135177.
4	2026-04-02 21:38:24	PICK_EXPEDICION	SALIDA	CEN/PICK/00258	S01464 - MSSQL-OP-135080	12	-12	-36	CEN/Existencias	CEN/Salida	internal	Picking de preparación: sale de Existencias hacia zona de Salida (CEN/PICK/00258). Origen: S01464 - MSSQL-OP-135080.
5	2026-04-04 15:54:29	PICK_EXPEDICION	SALIDA	CEN/PICK/00440	S01558 - VENTAS-ABRIL-PEDIDOS-EMANUEL-PERITO-2-CLI-2602	12	-12	-48	CEN/Existencias	CEN/Salida	internal	Picking de preparación: sale de Existencias hacia zona de Salida (CEN/PICK/00440). Origen: S01558 - VENTAS-ABRIL-PEDIDOS-EMANUEL-PERITO-2-CLI-2602.
6	2026-04-04 15:54:29	PICK_EXPEDICION	SALIDA	CEN/PICK/00441	S01560 - VENTAS-ABRIL-PEDIDOS-EMANUEL-PERITO-2-CLI-594	12	-12	-60	CEN/Existencias	CEN/Salida	internal	Picking de preparación: sale de Existencias hacia zona de Salida (CEN/PICK/00441). Origen: S01560 - VENTAS-ABRIL-PEDIDOS-EMANUEL-PERITO-2-CLI-594.
7	2026-04-04 15:54:41	PICK_EXPEDICION	SALIDA	CEN/PICK/00429	S01544 - VENTAS-ABRIL-PEDIDOS-EMANUEL-PERITO-2-CLI-1643	12	-12	-72	CEN/Existencias	CEN/Salida	internal	Picking de preparación: sale de Existencias hacia zona de Salida (CEN/PICK/00429). Origen: S01544 - VENTAS-ABRIL-PEDIDOS-EMANUEL-PERITO-2-CLI-1643.
8	2026-04-06 16:38:59	TRASLADO_SUCURSAL	SALIDA	CEN/INT/00010		48	-48	-120	CEN/Existencias	B3/Existencias	internal	Traslado interno Central → sucursal (CEN/INT/00010). Destino: B3/Existencias.
9	2026-04-07 13:48:01	PICK_EXPEDICION	SALIDA	CEN/PICK/00562	S01776	6	-6	-126	CEN/Existencias	CEN/Salida	internal	Picking de preparación: sale de Existencias hacia zona de Salida (CEN/PICK/00562). Origen: S01776.
